Category,Month,Registrations,Year
SCOOTERS INDIA LTD,SEP,0,2024
SEALION AUTOMOBILE PVT LTD,SEP,1,2024
SEAMLESS AUTOTECH PVT LTD,SEP,8,2024
SEC-RJMT ENGINEERING PVT LTD,SEP,4,2024
SEEKA E MOTORS PVT LTD,SEP,2,2024
SEN AND PANDIT VOLTAGE CONTROL PVT LTD,SEP,4,2024
SETH INDUSTRIAL CORPORATION,SEP,52,2024
SETHJI INDUSTRIES,SEP,0,2024
SF2 E VEHICLE PVT LTD,SEP,15,2024
SGLLINE MOTORS PVT LTD,SEP,0,2024
SHAH AGRO ENGG WORKS,SEP,0,2024
SHAH ELECTRIC MOTERS,SEP,0,2024
SHAILENDRA AUTOS PVT LTD,SEP,19,2024
SHAKTI AUTO GREEN,SEP,71,2024
SHAKTI ENGINEERING WORK,SEP,0,2024
"SHAKTI EN WORKS HALADIAPADAR,BERHAMPUR,GANJAM",SEP,0,2024
SHAKTIMAN AGRO INDUSTRIES,SEP,10,2024
SHAKTTI CONSTRUCTIONS EQUIPMENT PVT LTD,SEP,26,2024
SHALYA AUTO SALES PVT LTD,SEP,36,2024
SHAMMI ELECTRONICS,SEP,3,2024
SHARMA AND SHARMA ENGG WORKS BARGARH RLY STATION,SEP,0,2024
SHARMA-SHARMA ENGN WORKS,SEP,0,2024
SHEHALPREET ENGG WORKS,SEP,3,2024
"SHEKHAR ENGINEERING,JAJPUR",SEP,0,2024
SHEMA E- VEHCILE & SOLAR PVT LTD,SEP,0,2024
SHIGAN EVOLTZ LTD,SEP,17,2024
SHINE METAL UDYOG PVT LTD (UNIT- II),SEP,29,2024
SHINME ELECTRICAL VEHICLE PVT LTD,SEP,9,2024
SHIVA ENTERPRISES,SEP,18,2024
SHIVA GAYATRI ENGG WORKS,SEP,0,2024
"SHIV AGRO ,AGENCY",SEP,0,2024
SHIV AGRO INDUSTRIES,SEP,25,2024
SHIV AGRO INDUSTRIES YJ,SEP,0,2024
SHIVAJI AGRO INDUSTRIES,SEP,0,2024
SHIVAM ENGINEERING WORKSHOP,SEP,1,2024
SHIVAM MOTORS PVT LTD,SEP,0,2024
SHIVASHAKTHI ENG WORKS,SEP,4,2024
SHIV ENTERPRISES,SEP,14,2024
SHIVGANGA ECOGREEN LLP,SEP,91,2024
SHIVKRUPA TRAILOR,SEP,0,2024
SHIV OM INDIA,SEP,16,2024
SHIVRAJ TRAILOR,SEP,1,2024
SHIV SHAKTI ENG. WORKS,SEP,0,2024
SHIV SHAKTI ENTERPRISE,SEP,0,2024
SHIVSHAKTI STEEL INDUSTRIES LATUR,SEP,2,2024
SHOBHA ENG WORKS,SEP,1,2024
SHRADHA INDUSTRIES KANDHAMAL PHULBANI,SEP,6,2024
SHREE BALAJI ENGINEERING WORK SHOP,SEP,0,2024
SHREE DEV ENGINEERING WORKS,SEP,0,2024
SHREE DURGA FABRICATION COMPANY,SEP,0,2024
SHREE JAGDAMBA TROLLY,SEP,0,2024
SHREE MARUT E-AGROTECH PVT LTD,SEP,1,2024
SHREE MARUTI NANDAN BUSINESSS (P) LTD,SEP,7,2024
SHREE RAM AGRO INDUSTRIES,SEP,0,2024
SHREE SAI AGRO ENGINEERING WORKS,SEP,0,2024
SHREE SHYAM AGRO PRODUCTS BARGARH RAILWAY STATION,SEP,0,2024
SHREE SIDHIVINAYAK AUTO,SEP,7,2024
SHREE SWASTIK ENGINEERING CUTTACK MADHUPATNA,SEP,0,2024
SHREYA ENGINEERS,SEP,1,2024
SHRI AVP ENGINEERING WORK,SEP,0,2024
SHRI BARSANA E-VEHICLES PVT LTD,SEP,588,2024
SHRI DATTA AGRO INDUSTRIES,SEP,0,2024
SHRI DURGA EQUIPMENT,SEP,0,2024
SHRI GANESH ENGINERRING WORKS,SEP,0,2024
SHRI KRISHNA INDUSTRIES,SEP,2,2024
SHRI LAXMI ENGINEERING WORKS,SEP,3,2024
SHRI MAHALAXMI AGRO IND,SEP,0,2024
SHRI NAMO ELECTRIC AUTOMOTIVE,SEP,91,2024
SHRI NANDI TRAILER WORKS,SEP,0,2024
SHRINIWAS AGRO INDUSTRIES,SEP,0,2024
SHRI RADHE ENGG,SEP,0,2024
SHRIRAJ ELECTRIC VEHICLES,SEP,172,2024
SHRI RAMA ENGINEERING,SEP,1,2024
SHRI RAM AGRO INDUSTRIES,SEP,0,2024
SHRI RAM AUTO TECH PVT LTD,SEP,0,2024
SHRI RAM TRAILOR,SEP,0,2024
SHRI SAI ENGG WORKS,SEP,0,2024
SHRI SHANKAR ENG WORKS,SEP,0,2024
SHRI SHIVAJI ENG WORKS,SEP,3,2024
SHRI SHIVSHIDHA AGRI IMPLIMENT,SEP,0,2024
SHRI SHRINIVASA ENG WORKS,SEP,2,2024
SHRI SHYAM ENGG WORKS,SEP,0,2024
SHRI SWASTIK ENGG,SEP,2,2024
SHRI TIRUMALA ENGINEERING WORKS,SEP,5,2024
SHRI VADESHWAR TRAILORS,SEP,2,2024
SHRI VENKATARAMANA TRAILER WORK,SEP,1,2024
SHRI VENKATESHWARA ENGINEERING WORKS,SEP,0,2024
SHRI VENKATESHWAR AGRO INDUSTRIES,SEP,0,2024
SHRI VIJAY ENGINEERING WORKS,SEP,0,2024
SHRI VINAYAK INDUSTRIES,SEP,0,2024
SHRI VISHWAKARMA AUTOMOBILE,SEP,11,2024
SHUBHAM MANUFACTURER,SEP,0,2024
SHUBHMARUTI AGRITECH PVT LTD,SEP,0,2024
"SIDDHAKALA ENGINEERING AND WELDING WORKS
",SEP,1,2024
SIDDHESHWAR AGRO INDUSTRIES,SEP,0,2024
SIDDHIVINAYAK ENGINEERING,SEP,0,2024
SIDHI DURGA ENGINEERING,SEP,5,2024
SIDHI DURGA ENGINEERING TRAILOR CUTTACK MADHUPATAN,SEP,1,2024
SIMPLEENERGY PVT LTD,SEP,107,2024
SINGHAL ENTERPRISES,SEP,16,2024
SINGH AUTOMOBILES,SEP,42,2024
SIRF INDIA VEHICLES PVT LTD,SEP,25,2024
SITYOG ENGINEERING PVT LTD,SEP,0,2024
SIWACH STEEL PVT LTD,SEP,0,2024
SIX SENSES AUTOMOTIVE PVT LTD,SEP,2,2024
SIYARAM TRAILORS,SEP,0,2024
SKODA AUTO AS,SEP,7,2024
SKODA AUTO INDIA PVT LTD,SEP,1,2024
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,SEP,5408,2024
SKS TRADE INDIA PVT LTD,SEP,964,2024
SKYRIDE AUTOMOTIVE,SEP,0,2024
SKYY RIDER ELECTRIC PRIVATE LIMITED,SEP,15,2024
SMAP VEHICLES (IMPORTER: ELEGO MOTORS),SEP,2,2024
SMARDA INDUSTRY (IMPORTER: RHYNO),SEP,0,2024
SMART ELECTRO MOTORS,SEP,6,2024
S.M ELECTRIC VEHICLE,SEP,0,2024
SML ISUZU LTD,SEP,941,2024
SMT INDUSTRIES,SEP,0,2024
"S.N.ENGINEERING, CUTTACK",SEP,0,2024
SN SOLAR ENERGY,SEP,50,2024
SOKUDO ELECTRIC INDIA PVT LTD,SEP,23,2024
SOLANKE ENGINEERING WORKS,SEP,3,2024
SONALIKA INTERNATIONAL TRACTORS LIMITED,SEP,3,2024
SONI E VEHICLE PVT LTD,SEP,2,2024
SPEED AUTO TECH,SEP,3,2024
SPEEDWAYS ELECTRIC,SEP,0,2024
SPEEGO VEHICLES CO PVT LTD,SEP,229,2024
S P TRADING BBSR BALIANTA,SEP,2,2024
"S P TRADING, KHURDA",SEP,0,2024
S R AGRICULTURE EQUIPMENTS CO (P) LTD,SEP,1,2024
SRD RENEWABLES,SEP,129,2024
SRI AVP ENGINEERING WORKS BARGARH RENGALICAMP,SEP,0,2024
"SRI MANIKANTA ENGINEERING WORKS,KADAPA AP49604028",SEP,0,2024
SRINIVAS E VEHICLE,SEP,1,2024
SRI P.M. FAABS PVT LTD,SEP,1,2024
SRI SAI AGRICULTURAL EQUIPMENT,SEP,6,2024
SRI SAI DURGA ENGG WORKSAP021000001,SEP,0,2024
SRI SAI ENGINEERING WORKS AP235640703,SEP,0,2024
SRI SANKAR ENGINEERING WORKS SAMBALPUR MANESWAR,SEP,0,2024
SRI SRI MARUTHI ENGINEERING WORKS AP235744011,SEP,2,2024
SRI TIRUMALA AGRO SALES CHARBAHAL,SEP,0,2024
"SRI.TIRUMALA AGRO SALES, CHARBAHAL",SEP,0,2024
SRIVARU MOTORS PVT LTD,SEP,0,2024
SRI VENKATESWARA ENGINEERING WORKS,SEP,0,2024
S S AGRO INDUSTRIES,SEP,0,2024
S.S. AGRO TECH,SEP,0,2024
SSB INDISTRIES,SEP,138,2024
SSEV ENTERPRISES PRIVATE LIMITED,SEP,90,2024
S S GLOBAL,SEP,6,2024
SSV TECHNOLOGIES,SEP,0,2024
STANDARD COMBINES PVT LTD,SEP,0,2024
STANDARD CORPORATION INDIA LTD,SEP,4,2024
STAR BULL E MOTORS,SEP,93,2024
STAR ENGINEERING WORKS,SEP,0,2024
STAR IGLOBAL AUTOMOTIVE PVT LTD,SEP,28,2024
STAR INDUSTRIES,SEP,9,2024
STAR WELDING WORKS,SEP,0,2024
STRENGTH AUTOELECTRIC PVT LTD,SEP,34,2024
SUBHADRA ENGINEERING CUTTACK NUAPADA,SEP,3,2024
SUBHADRA ENGINEERING NUAPADA,SEP,0,2024
SUBRAMANYESWARA INDUSTRIES,SEP,1,2024
SUDHA ENGINEERING WORKS,SEP,3,2024
SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,SEP,36,2024
SUKHDEV AGRO INDUSTRIES,SEP,2,2024
SUKHWINDERA AGRO INDUSTRIES,SEP,0,2024
SUMEC CO LTD (IMPORTER: ROUTE & MARS EV LLP),SEP,0,2024
SUMFONL AUTO TRADERS PVT LTD,SEP,30,2024
SUNANDA GREENTECH PVT LTD,SEP,24,2024
SUNARIYA MOTORS PVT LTD,SEP,1,2024
SUN AUTO,SEP,0,2024
SUNIL AGRO ENGINEERING WORKS,SEP,1,2024
SUNIL AGRO ENGINEERING WORKS ANGUL PANCHAMAHALA,SEP,0,2024
SUN INDUSTRIES,SEP,53,2024
SUNJET ENERGY PVT LTD,SEP,0,2024
SUNSET TRADE PVT LTD,SEP,17,2024
SUNSHINE TECHNOLOGIES,SEP,3,2024
SUNULTRA POWER SOLUTIONS PVT LTD,SEP,0,2024
SUPERECO AUTOMOTIVE CO,SEP,8,2024
SUPER METRO INDUSTRIES,SEP,92,2024
SUPER POWER MOTORS,SEP,13,2024
SUPER STANDARD AGRO COMBINE,SEP,0,2024
SUPERTECH EV LIMITED,SEP,194,2024
SUPER TECHNO AUTOMOTIVE LLP,SEP,3,2024
SUPREME SALES AGENCY,SEP,26,2024
SUPREME SMART POWER PVT LTD,SEP,20,2024
SUPROVA ENTERPRISE,SEP,0,2024
SURAJ ENGINEERING WORKS,SEP,0,2024
SURINDERA AGRO INSDUSTRIES,SEP,16,2024
SURYA INDUSTRIES,SEP,3,2024
SURYA INTERNATIONAL,SEP,1,2024
SURYA STEEL WORKS,SEP,0,2024
SUZUKI MOTORCYCLE INDIA PVT LTD,SEP,74704,2024
S.V.ENGINEERS,SEP,1,2024
SVS ENTERPRISES,SEP,3,2024
SWADESH MOTORS AND TRACTORS LTD,SEP,0,2024
SWAMI AGRO TECH,SEP,0,2024
SWAMI ENGINEERING WORKS,SEP,0,2024
"SWAPNA FABRICATION WORKS,MALKANGIRI",SEP,0,2024
SWAPNA FABRICATION WORKS MALKANGIRI MAIN ROAD,SEP,0,2024
SWARAJ AUTOMOTIVES LTD,SEP,1,2024
SWARNCHAKRA AUTOMOBILES PVT LTD,SEP,1,2024
SWASTIK,SEP,0,2024
SWASTIK ENGINEERING WORKS,SEP,0,2024
SWITCH MOBILITY AUTOMOTIVE LTD,SEP,84,2024
SYAN AGRO INDUSTRY,SEP,6,2024
SYNDICATE AUTO COMPONENTS,SEP,7,2024
TADANO LIMITED,SEP,2,2024
TAFE LIMITED,SEP,7287,2024
TAMARIA VENTURES,SEP,0,2024
TAO POWER PRIVATE LIMITED,SEP,2,2024
TARA MAA MACHINERY,SEP,34,2024
TARLE CONSTRUCTION EQUIPMENTS PVT LTD,SEP,1,2024
TATA ADVANCED SYSTEMS LTD,SEP,8,2024
TATA HITACHI CONSTRUCTION MACHINERY COMP. PVT LTD,SEP,97,2024
TATA INTERNATIONAL VEHICLE APPLICATIONS PVT LTD,SEP,14,2024
TATA MOTORS LTD,SEP,25728,2024
TATA MOTORS PASSENGER VEHICLES LTD,SEP,27990,2024
TATA PASSENGER ELECTRIC MOBILITY LTD,SEP,3822,2024
TAURUS ELECTRIC VEHICLES,SEP,17,2024
TEJAS ENERGY,SEP,17,2024
TENAX INTERNATIONAL (IMPORTER: VERT EQUIPMENT),SEP,0,2024
TEREX EQUIPMENT PVT LTD,SEP,0,2024
TEREX INDIA PRIVATE LIMITED,SEP,10,2024
TERRA MOTORS INDIA PVT LTD,SEP,829,2024
THAVE ENTERPRISES,SEP,14,2024
THE COMMERCIAL MOTORS LIMITED,SEP,0,2024
THE COMMERCIAL MOTORS PVT LTD,SEP,1,2024
THOKADE ENTERPRISES,SEP,0,2024
THUKRAL ELECTRIC BIKES PVT LTD,SEP,752,2024
TI CLEAN MOBILITY PVT LTD,SEP,603,2024
TII INDIA PVT LTD,SEP,5,2024
TIL LIMITED,SEP,0,2024
TIL LTD,SEP,1,2024
TIRTH AGRO TECHNOLOGY PVT LTD,SEP,14,2024
TIRTH HYGIENE TECHNOLOGY PVT LTD,SEP,0,2024
TIRUPATI AGRO INDUSTRIES,SEP,0,2024
TIRUPATI DISTRIBUTOR,SEP,0,2024
TOGOR ENGINEERING WORKS,SEP,0,2024
TOP TEAM MACHINES PVT LTD,SEP,117,2024
TORK MOTORS PVT LTD,SEP,2,2024
TOYOTA HIACE GL COMMUTER,SEP,4,2024
TOYOTA KIRLOSKAR MOTOR PVT LTD,SEP,20918,2024
TOYOTA MATERIAL HANDLING INDIA PVT LTD,SEP,10,2024
TPS INFRASTRUCTURE LTD,SEP,2,2024
TPS INFRASTRUCTURE LTD.,SEP,0,2024
TRACLAXX TRACTORS PVT LTD,SEP,0,2024
TRACTOR VANDANA GREEN,SEP,0,2024
TRANSPORT ENGINEERING SOLUTIONS INDIA PVT LTD,SEP,1,2024
TRANSPORT SOLUTIONS INDIA,SEP,0,2024
TRATEC ENGINEERS PVT LTD,SEP,7,2024
TRATEC ENGINEERS PVT. LTD.,SEP,0,2024
TRATICO ENGINEERING INDIA PVT LTD,SEP,3,2024
TRIMURTI AGRO INDUSTRIES,SEP,1,2024
TRIMURTI INDUSTRIES,SEP,0,2024
TRIMURTI TRAILER,SEP,10,2024
TRINITY ELECTRIC VEHICLES PVT LTD,SEP,33,2024
TRISHIKA INDUSTRIES,SEP,18,2024
TRISHUL TRACTORS PVT. LTD.,SEP,0,2024
TRIUMPH MOTORCYCLES (INDIA) PVT LTD,SEP,86,2024
TRUPART AUTOMOTIVE INDIA PVT LTD,SEP,0,2024
TRUZ INDUSTRIES,SEP,1,2024
TSM ENGINEERING PVT LTD,SEP,29,2024
TSR TRADE COM,SEP,1,2024
TUFAN MOTORS PVT LTD,SEP,112,2024
T U K INDUSTRIES,SEP,379,2024
TULSI TRAILER,SEP,0,2024
TUNWAL E MOTORS PVT LTD,SEP,0,2024
TVS MOTOR COMPANY LTD,SEP,224270,2024
TWASHTRE AUTOMOTIVE PVT LTD,SEP,1,2024
TWIN GREEN TECH PVT LTD,SEP,0,2024
TWINKLE TRADCOM PVT LTD,SEP,180,2024
TWO FRIENDS AUTO ELECTRIC PVT LTD,SEP,280,2024
TYAGI AGROTECH COMPANY,SEP,0,2024
TYST DRIVE INDIA PVT LTD,SEP,0,2024
ULTRAVIOLETTE AUTOMOTIVE PVT LTD,SEP,52,2024
UMA  AUTO INDUSTRIES PVT. LTD,SEP,6,2024
UMA MOTORS,SEP,23,2024
UNIPAVE ENGINEERING PRODUCTS,SEP,1,2024
UNIQUE AUTO ELECTRIC,SEP,156,2024
UNIQUE ENTERPRISES,SEP,283,2024
UNIQUE INTERNATIONAL,SEP,1199,2024
UNITED TRANSMOVERS PVT LTD,SEP,37,2024
UNITER ENGINEERING PRODUCTS,SEP,2,2024
U.P. TELELINKS LIMITED,SEP,266,2024
URWASHI ENTERPRISES,SEP,79,2024
USHASONS AUTO COMPONENTS,SEP,3,2024
UTTAM CONSTRUCTION EQUIPMENTS,SEP,18,2024
VAHAK FUTURE SOLUTIONS LLP,SEP,1,2024
VALDO TRACTORS PVT LTD,SEP,0,2024
VANDANA TRAILERS AND BODY MFG PVT LTD,SEP,0,2024
VANI ELECTRIC VEHICLES PVT LTD,SEP,748,2024
VASHAN AGRICULTURE WORKS,SEP,2,2024
VEANCO AUTOMOTIVES PVT LTD,SEP,0,2024
VE COMMERCIAL VEHICLES LTD,SEP,6094,2024
VE COMMERCIAL VEHICLES LTD (VOLVO BUSES DIVISION),SEP,43,2024
VECTRA ADVANCED ENGINEERING (P) LTD,SEP,0,2024
VEECTERO E VEHICLES LLP,SEP,4,2024
VEERA VAHANA UDYOG PRIVATE LIMITED,SEP,2,2024
VEERA VIDYUTH VAHANA PVT LTD,SEP,0,2024
VEERBHADRA ENGINEERING WORKS,SEP,8,2024
VEHICLE FACTORY JABALPUR,SEP,8,2024
VELOCIFERO (IMPORTER: KAWVELOCE MOTORS PVT LTD),SEP,0,2024
VENKATESHWARA ENGINEERING WORK,SEP,2,2024
VENKATESHWAR AGRO INDUSTRIES,SEP,0,2024
VENUS AUTO WHEELS PVT LTD,SEP,41,2024
VENUS EQUIPMENT,SEP,8,2024
VERT EQUIPMENT PVT LTD,SEP,6,2024
VICTORIA E VEHICLES PVT. LTD,SEP,0,2024
VICTORY ELECTRIC INTERNATIONAL,SEP,200,2024
VIDARBHA TRAILERS,SEP,0,2024
VIJAYA ELECTRIC AUTO PVT LTD,SEP,23,2024
VIJAYALAKSHIMI ENGG WORKS,SEP,0,2024
VIJAYALAKSHMI INDUSTRIES,SEP,0,2024
VIJAYLAXMI AUTO GARAGE MALKANGIRI KUMUTIGUDA,SEP,0,2024
VIJAYLAXMI ENGINEERING,SEP,0,2024
VIJAYS ENERGY INDUSTRIES (INDIA) PVT LTD,SEP,452,2024
VIJAYSHREE AUTOCOM LIMITED,SEP,8,2024
VIJEX STEEL FABRICATION,SEP,10,2024
VIKAS AGRO INDUSTRIES,SEP,0,2024
VIKASH ENGINEERING WORKS,SEP,0,2024
VIKASH TRAILERS,SEP,0,2024
VIKAS TRAILORS BODY BUILDING WORKS AP213154392,SEP,0,2024
VIKRANT ENGINEERING,SEP,5,2024
VIKRANT ENGINEERS TRAILOR CUTTACK KHAPURIA,SEP,0,2024
VIMAL UNIVERSAL TRADE PVT LTD,SEP,87,2024
VINA ENGINEERING WORKS,SEP,0,2024
VINCI INDUSTRIAL CORPORATION,SEP,3,2024
VINTAGE VEHICLES,SEP,1,2024
VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,SEP,0,2024
VISHAL AGRICULTURAL WORKS,SEP,1,2024
VISHAL ENTERPRISES,SEP,6,2024
VISHAVKARMA ENGINEERING WORKS,SEP,65,2024
VISHWAKARMA AGRICULTURE UDHYOG,SEP,1,2024
VISHWAKARMA GNG INDUSTRY,SEP,15,2024
VISHWARUP ENTERPRISE,SEP,0,2024
VISHWAS AUTOMOBILES LLP,SEP,1,2024
VISWAKARMA AGRO INDUSTRIES,SEP,0,2024
"VISWANATH INDUSTRIES,BBSR",SEP,3,2024
VISWANATH INDUSTRIES BBSR LAXMISAGAR,SEP,1,2024
VITAN JAGADA AUTOMOBILE PVT LTD,SEP,0,2024
VIVEK MOTORS,SEP,0,2024
VMP CONCRETE EQUIPMENTS PVT LTD,SEP,0,2024
VMT INDUSTRIES,SEP,0,2024
VMT INDUSTRIES PVT LTD,SEP,15,2024
VOLKSWAGEN AG,SEP,0,2024
VOLKSWAGEN INDIA PVT LTD,SEP,0,2024
VOLTAS LIMITED,SEP,0,2024
VOLVO,SEP,0,2024
VOLVO AUTO INDIA PVT LTD,SEP,118,2024
VOLVO CE INDIA PRIVATE LIMITED,SEP,31,2024
"""VOLVO GROUP INDIA PVT LTD""",SEP,123,2024
VOLVO GROUP TRUCKS CENTRAL EUROPE GMBH,SEP,0,2024
VOLVO TRUCKS CORPORATION,SEP,0,2024
VORC MOTORS PVT LTD,SEP,1,2024
VRINDA ENTERPRISES,SEP,91,2024
V R WELDING WORKS,SEP,0,2024
VSL INDUSTRIES,SEP,0,2024
V S TRAILERS,SEP,0,2024
V.S.T. TILLERS TRACTORS LIMITED,SEP,185,2024
VST TILLER TRACTOR LTD,SEP,0,2024
VST ZETOR PVT LTD,SEP,7,2024
V.T. ENGINEERING,SEP,8,2024
V.V.A.AUTO INDUSTRIES PVT.LTD,SEP,1,2024
WAKEN MULTITECH PVT LTD,SEP,0,2024
WARDWIZARD INNOVATIONS & MOBILITY LIMITED,SEP,648,2024
WARIVO MOTOR INDIA PVT LTD,SEP,2,2024
WASAN E-MOBILITY SOLUTIONS PVT LTD,SEP,1,2024
WASIM MEERA ENGG WORKS,SEP,0,2024
WELKIN HEALTHCARE PVT LTD,SEP,0,2024
WHITE CARBON MOTORS PVT LTD,SEP,0,2024
WILLYS INDIA LTD,SEP,0,2024
WIRTGEN INDIA PVT LTD,SEP,39,2024
WISENT INFRATECH LLP,SEP,1,2024
WOX COOLERS PVT LTD,SEP,0,2024
WUXI DONGMA (IMPORTER: DYNAM PRECISION),SEP,0,2024
WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),SEP,8,2024
WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),SEP,9,2024
WUXI NOOMA (IMPORTER: KKL HITECH EV),SEP,0,2024
WUXI NOOMA (IMPORTER: SMARTNK  ELECTRIC VEHICLE),SEP,0,2024
WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),SEP,5,2024
WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),SEP,0,2024
WUXI SAIGE (IMPORTER: DM GREEN ENERGY),SEP,1,2024
WUXI SAIGE (IMPORTER: ELECTRO-TECH),SEP,0,2024
WUXI SAIGE (IMPORTER: E-VISHWA ELECTOBIKE),SEP,0,2024
WUXI SAIGE (IMPORTER: KKL HITECH EV),SEP,0,2024
WUXI SAIGE (IMPORTER: NGAGE IMPEX),SEP,0,2024
WUXI SAIGE (IMPORTER: WARIVO MOTOR),SEP,10,2024
WUXI SAIGE (IMPORTER: ZELIO AUTO PVT.LTD.),SEP,1,2024
WUXI SHENGBAO (IMPORTER:ELECTRIC ONE ENERGY),SEP,9,2024
WUXI SHENGBAO (IMPORTER:SHEMA E-VEHICLE),SEP,2,2024
WUXI TENGHUI (IMPORTER: BOHRE ELECTRIC),SEP,0,2024
WUXI TENGHUI (IMPORTER: CAL-ON INDUSTRIES),SEP,1,2024
WUXI TENGHUI (IMPORTER: FEZORA INDIA),SEP,1,2024
WUXI TENGHUI (IMPORTER: FLYCON MOTORS),SEP,6,2024
WUXI TENGHUI (IMPORTER: FRANKLIN EV INDIA),SEP,8,2024
WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),SEP,4,2024
WUXI TENGHUI (IMPORTER: JAIDKA POWER),SEP,5,2024
WUXI TENGHUI (IMPORTER: JOZHI SERVICES),SEP,8,2024
WUXI TENGHUI (IMPORTER: RADHA MOBILITIES LLP),SEP,0,2024
WUXI TENGHUI (IMPORTER: REMARK ELECTRIC),SEP,0,2024
WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),SEP,15,2024
WUXI TENGHUI INTERNATIONAL (IMPORTER: FEZORA),SEP,0,2024
WUXI TENGHUI INTERNATIONAL (IMPORTER: FRANKLIN EV),SEP,0,2024
WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),SEP,3,2024
WUXI YIZHILING (IMPORTER: HOMFEEL VEGH),SEP,0,2024
XCMG CONSTRUCTION MACHINERY CO. LTD.,SEP,6,2024
XIDAA MOTO PVT LTD,SEP,0,2024
"XUZHOU CONSTRUCTION MACHINERY GROUP CO. LTD, CHINA",SEP,15,2024
XUZHOU CONSTRUCTION MACHINERY MANUFACTURING (IND),SEP,4,2024
XYZ1,SEP,121,2024
XYZ2,SEP,14,2024
YAARI AUTOMOBILES PVT LTD,SEP,15,2024
YADEA TECHNOLOGY (IMPORTER: YULU BIKES),SEP,0,2024
YAGYAPRIYAA CONSTRUCTION EQUIPMENT INDIA PVT LTD,SEP,0,2024
YANGGUANG LINGMU (IMPORTER: DAWNGATE BUSINESS),SEP,0,2024
YANGGUANG LINGMU (IMPORTER: ECOINDIA),SEP,0,2024
YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),SEP,1,2024
YANGGUANG LINGMU (IMPORTER: REMARK ELECTRIC),SEP,0,2024
YANGGUANG LINGMU (IMPORTER: XWLS ELECTRIC),SEP,0,2024
YASH AGRO ENGINEERING WORKS,SEP,0,2024
YC ELECTRIC VEHICLE,SEP,3827,2024
YESH TRAILER,SEP,0,2024
YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),SEP,12,2024
YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),SEP,3,2024
YOUYAKU ELECTRIC (IMPORTER:KRISHIKA EV INDIA),SEP,0,2024
YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),SEP,5,2024
YOUYAKU ELECTRIC (IMPORTER:ONZO EV),SEP,1,2024
YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),SEP,5,2024
YOUYAKU ELECTRIC (IMPORTER: SHEMA E-VEHICLE),SEP,10,2024
YOUYAKU ELECTRIC (IMPORTER: SMOBILITY EV),SEP,0,2024
YOUYAKU ELECTRIC (IMPORTER: TVISI ELECTRIC),SEP,0,2024
YUVRAJ INTERNATIONAL,SEP,0,2024
ZAP (HK) (IMPORTER: IZANAU ELECTRIC),SEP,7,2024
ZAP (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),SEP,1,2024
ZELIO AUTO PVT LTD,SEP,0,2024
ZENIAK INNOVATION INDIA LTD,SEP,838,2024
ZENMO PRIVATE LIMITED,SEP,101,2024
ZENTHIUM EV PVT LTD,SEP,85,2024
ZEOPLUS AXIS INDIA PVT. LTD.,SEP,657,2024
ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,SEP,4,2024
ZESAR MOTORS PVT LTD,SEP,32,2024
ZHEJIANG CFMOTO (IMPORTER: ADISHWAR AUTO),SEP,4,2024
ZHEJIANG CHANGLING (IMPORTER: ADISHWAR AUTO),SEP,5,2024
ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),SEP,1,2024
ZHEJIANG MORNI (IMPORTER: ADISHWAR AUTO),SEP,3,2024
ZHEJIANG QIANJIANG (IMPORTER: ADISHWAR AUTO),SEP,24,2024
ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),SEP,1,2024
ZHONGHUALONG (IMPORTER: POWORO PVT LTD),SEP,20,2024
ZHONGXING (IMPORTER:GREENO AUTOMOBILE),SEP,2,2024
ZOHAN TRADERS AND BIG METRO,SEP,29,2024
ZOOMLION INDIA PVT LTD,SEP,8,2024
ZUBEDA TROLLY REPAIRING WORKS,SEP,1,2024
3EV INDUSTRIES PVT LTD,OCT,0,2024
3S INDUSTRIES PRIVATE LIMITED,OCT,153,2024
A1 HEAVY EQUIPMENTS DEVELOPER,OCT,2,2024
A-1 SUREJA INDUSTRIES,OCT,2,2024
AADHYA ENTERPRISES,OCT,45,2024
AADITYA GARBAGE PRODUCTS PVT LTD,OCT,0,2024
AAHANA COMMERCE PVT LTD,OCT,313,2024
AAKK AUTO PVT LTD,OCT,16,2024
